Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Ádám Szalai,1,0,0,22,8,0,36.4,2.09,0.76,0.05,0.13,3.9,3.9,0.18,-2.9,-2.9
Jonathan Tah,0,0,0,5,1,0,20.0,0.29,0.06,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
Edmond Tapsoba,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Georg Teigl,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Bernard Tekpetey,0,0,0,11,1,0,9.1,2.20,0.20,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5
Lino Tempelmann,0,0,0,1,0,0,0.0,2.65,0.00,0.00,0,0.0,0.0,0.04,0.0,0.0
Simon Terodde,3,0,0,36,11,0,30.6,4.34,1.33,0.08,0.27,6.5,6.5,0.18,-3.5,-3.5
Niclas Thiede,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Jan Thielmann,0,0,0,6,2,0,33.3,1.68,0.56,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4
Erik Thommy,3,0,0,29,11,1,37.9,1.97,0.75,0.10,0.27,1.8,1.8,0.06,+1.2,+1.2
Marcus Thuram,6,0,0,39,24,0,61.5,2.26,1.39,0.15,0.25,6.7,6.7,0.17,-0.7,-0.7
