Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
54,Jérôme Boateng,de GER,DEF,Bayern Munich,30,1988,10.7,0,0,0,3,0,0,0.0,0.28,0.00,0.00,0,0.2,0.2,0.08,-0.2,-0.2,0,0.3,-0.3,1,820,908,90.3,0,2,0.0,498,529,94.1,322,377,85.4,241,617,17,3,0,4,60,6,0
55,Adam Bodzek,de GER,MID,Düsseldorf,33,1985,15.5,0,0,0,8,3,0,37.5,0.52,0.19,0.00,0.00,0.6,0.6,0.07,-0.6,-0.6,0,0.2,-0.2,5,390,465,83.9,4,11,36.4,261,300,87.0,125,154,81.2,26,385,17,0,0,2,39,3,0
56,Jean-Paul Boëtius,nl NED,MID,Mainz 05,25,1994,19.9,3,0,0,26,9,0,34.6,1.31,0.45,0.12,0.33,2.0,2.0,0.08,+1.0,+1.0,5,3.2,+1.8,32,545,733,74.4,18,47,38.3,411,510,80.6,116,176,65.9,116,573,5,4,0,7,78,18,1
57,Robin Bormuth,de GER,DEF,Düsseldorf,23,1995,2.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,59,74,79.7,0,1,0.0,38,44,86.4,21,29,72.4,13,51,3,0,0,0,3,0,0
58,Sebastiaan Bornauw,be BEL,DEF,Köln,20,1999,19.9,4,0,0,14,5,0,35.7,0.70,0.25,0.29,0.80,2.6,2.6,0.18,+1.4,+1.4,0,0.3,-0.3,3,700,864,81.0,1,4,25.0,393,437,89.9,306,423,72.3,95,704,21,1,0,3,46,4,1
59,Brandon Borrello,au AUS,MID,Freiburg,24,1995,3.3,0,0,0,6,1,0,16.7,1.81,0.30,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,0,0.3,-0.3,2,59,76,77.6,1,4,25.0,52,62,83.9,6,10,60.0,16,53,0,0,0,0,1,1,0
60,Nassim Boujellab,de GER,MID,Schalke 04,20,1999,0.7,0,0,0,1,0,0,0.0,1.38,0.00,0.00,0,0.1,0.1,0.14,-0.1,-0.1,0,0.0,0.0,0,22,25,88.0,1,2,50.0,15,16,93.8,6,7,85.7,6,15,0,1,0,0,1,0,0
61,Dedryck Boyata,be BEL,DEF,Hertha BSC,28,1990,18.6,3,0,0,16,3,0,18.8,0.86,0.16,0.19,1.00,1.4,1.4,0.09,+1.6,+1.6,1,0.8,+0.2,1,767,834,92.0,5,11,45.5,477,504,94.6,285,319,89.3,146,644,13,0,0,1,28,1,0
62,Julian Brandt,de GER,MID,Dortmund,23,1996,15.2,3,0,0,24,12,0,50.0,1.58,0.79,0.13,0.25,3.3,3.3,0.14,-0.3,-0.3,2,3.1,-1.1,26,852,1032,82.6,22,59,37.3,645,741,87.0,185,232,79.7,150,844,9,11,13,3,65,40,1
63,Erling Braut Håland,no NOR,FWD,Dortmund,19,2000,4.4,9,0,0,16,12,0,75.0,3.65,2.73,0.56,0.75,4.6,4.6,0.29,+4.4,+4.4,0,0.3,-0.3,4,73,103,70.9,4,9,44.4,65,88,73.9,4,6,66.7,70,16,0,0,0,2,6,2,0
64,Josip Brekalo,hr CRO,FWD,Wolfsburg,21,1998,10.5,3,0,0,23,11,1,47.8,2.20,1.05,0.13,0.27,2.0,2.0,0.09,+1.0,+1.0,4,3.8,+0.2,29,346,505,68.5,9,41,22.0,256,316,81.0,81,148,54.7,51,419,10,6,30,16,29,21,3
65,John Brooks,us USA,DEF,Wolfsburg,26,1993,14.0,0,0,0,6,3,0,50.0,0.43,0.21,0.00,0.00,0.9,0.9,0.16,-0.9,-0.9,1,0.1,+0.9,2,510,626,81.5,6,13,46.2,297,348,85.3,207,265,78.1,451,101,28,0,0,1,26,2,0
66,Daniel Brosinski,de GER,DEF,Mainz 05,31,1988,14.9,2,1,1,16,5,3,31.3,1.08,0.34,0.06,0.20,1.5,0.8,0.05,+0.5,+0.2,3,2.9,+0.1,36,527,822,64.1,3,24,12.5,343,420,81.7,181,378,47.9,41,583,40,0,50,172,42,20,5
67,Jeffrey Bruma,nl NED,DEF,Mainz 05,27,1991,3.0,0,0,0,4,0,0,0.0,1.33,0.00,0.00,0,0.2,0.2,0.06,-0.2,-0.2,0,0.0,0.0,0,56,67,83.6,0,0,0,29,36,80.6,27,31,87.1,7,51,0,0,0,0,6,0,0
68,Jeffrey Bruma,nl NED,DEF,Wolfsburg,27,1991,9.0,0,0,0,9,2,0,22.2,1.00,0.22,0.00,0.00,1.3,1.3,0.14,-1.3,-1.3,0,0.0,0.0,0,268,306,87.6,2,5,40.0,173,189,91.5,93,112,83.0,44,227,19,0,0,0,5,0,0
69,Jacob Bruun Larsen,dk DEN,MID,Hoffenheim,20,1998,1.5,0,0,0,2,0,0,0.0,1.33,0.00,0.00,0,0.1,0.1,0.05,-0.1,-0.1,0,0.1,-0.1,3,41,53,77.4,1,4,25.0,36,43,83.7,4,6,66.7,11,34,0,0,1,3,2,0,0
70,Jacob Bruun Larsen,dk DEN,FWD,Dortmund,20,1998,0.7,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,1,0.3,+0.7,1,22,27,81.5,1,3,33.3,18,21,85.7,3,3,100.0,8,16,0,0,0,0,3,0,0
71,Marius Bülter,de GER,FWD,Union Berlin,26,1993,17.4,7,0,0,30,12,0,40.0,1.73,0.69,0.23,0.58,2.7,2.7,0.09,+4.3,+4.3,0,2.6,-2.6,20,271,421,64.4,6,32,18.8,226,300,75.3,39,89,43.8,124,243,0,2,0,6,16,10,6
72,Guido Burgstaller,at AUT,FWD,Schalke 04,30,1989,10.9,0,0,0,30,7,0,23.3,2.75,0.64,0.00,0.00,4.3,4.3,0.14,-4.3,-4.3,1,0.6,+0.4,5,161,237,67.9,9,26,34.6,135,182,74.2,17,29,58.6,68,123,0,2,0,1,11,5,0
73,Jonathan Burkardt,de GER,FWD,Mainz 05,19,2000,1.0,0,0,0,4,0,0,0.0,3.87,0.00,0.00,0,0.6,0.6,0.14,-0.6,-0.6,0,0.0,0.0,0,17,22,77.3,2,3,66.7,11,12,91.7,4,7,57.1,3,15,1,0,0,2,0,0,0
74,Roman Bürki,ch SUI,GK,Dortmund,28,1990,19.8,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,555,702,79.1,4,4,100.0,330,331,99.7,221,367,60.2,157,431,33,0,0,0,3,0,0
