Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
579,Raheem Sterling,FWD,eng Manchester City,4.6,2,2.1,-0.1,12,138,174,79.3,5,15,33.3,126,143,88.1,7,16,43.8,0,0,4,11,1,5,0,0,15,8,1,53.3,3.28,1.75,0.33,0.63,3.7,3.7,0.25,+1.3,+1.3
580,Petar Stojanović,DEF,hr Dinamo Zagreb,5.6,1,0.5,+0.5,1,154,215,71.6,2,10,20.0,130,158,82.3,22,47,46.8,0,0,13,4,4,0,0,0,1,0,0,0.0,0.18,0.00,0.00,0,0.1,0.1,0.13,-0.1,-0.1
581,John Stones,DEF,eng Manchester City,0.5,0,0.0,0.0,0,19,19,100.0,0,0,0,11,11,100.0,8,8,100.0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.84,0.00,0.00,0,0.2,0.2,0.16,-0.2,-0.2
582,Luis Suárez,FWD,es Barcelona,4.3,2,1.1,+0.9,11,98,134,73.1,4,13,30.8,75,98,76.5,19,23,82.6,1,0,8,4,1,3,0,0,15,8,1,53.3,3.48,1.86,0.20,0.38,2.5,2.5,0.17,+0.5,+0.5
583,Niklas Süle,DEF,de Bayern Munich,2.0,0,0.0,0.0,0,124,137,90.5,0,2,0.0,71,74,95.9,53,61,86.9,0,0,15,2,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
584,Aleksei Sutormin,MID,ru Zenit,0.3,0,0.0,0.0,0,8,11,72.7,1,2,50.0,6,8,75.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
585,Wojciech Szczęsny,GK,it Juventus,5.0,0,0.0,0.0,0,141,155,91.0,1,1,100.0,80,80,100.0,60,74,81.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
586,Dominik Szoboszlai,MID,at RB Salzburg,4.4,0,0.6,-0.6,5,159,199,79.9,8,13,61.5,121,133,91.0,30,53,56.6,1,8,17,4,0,1,0,0,12,2,1,16.7,2.75,0.46,0.08,0.50,0.8,0.8,0.06,+0.2,+0.2
587,Adel Taarabt,MID,pt Benfica,4.0,1,0.9,+0.1,4,209,242,86.4,3,6,50.0,158,182,86.8,48,54,88.9,0,3,30,2,0,0,0,0,8,1,0,12.5,2.00,0.25,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3
588,Dušan Tadić,FWD,nl Ajax,6.0,3,1.1,+1.9,11,152,194,78.4,8,18,44.4,123,148,83.1,21,28,75.0,1,0,18,6,1,0,0,0,6,1,0,16.7,1.00,0.17,0.00,0.00,0.7,0.7,0.12,-0.7,-0.7
